track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_track_id,spotify_preview_url,spotify_album_cover_url,spotify_artist_image_url
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,2SOvWt6igzXViIjIiWNWEP,https://p.scdn.co/mp3-preview/8a9ca6c81e6e6ad48758f02017456405fd7a476d?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,https://i.scdn.co/image/ab6761610000e5eb14add0d3419426b84158b913
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,3USxtqRwSYz57Ewm6wWRMp,,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,https://i.scdn.co/image/ab6761610000e5eb66b27eccb69756f8eceabc23
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,5odlY52u43F5BjByhxg7wg,https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,https://i.scdn.co/image/ab6761610000e5ebce33386a81a202e149934ec1
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,2QjOHCTQ1Jl3zawyYOpxh6,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,2tTmW7RDtMQtBk7m2rYeSw,https://p.scdn.co/mp3-preview/e9c0ed735e611f6af45bc946bd4c31590df09ed6?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,https://i.scdn.co/image/ab6761610000e5eb14add0d3419426b84158b913
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,1mea3bSkSGXuIRvnydlB5b,https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,5LrN7yUQAzvthd4QujgPFr,,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,https://i.scdn.co/image/ab6761610000e5ebad447187a35f422307e88ad3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,3nqQXoyQOWXiESFLlDF1hG,,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,https://i.scdn.co/image/c589b50021995a40811097e48a9c65f9c4b423ea
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,4FAKtPVycI4DxoOHC01YqD,https://p.scdn.co/mp3-preview/338ed053ce26ccc3313b00b5e6153e60ffd2eb19?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,https://i.scdn.co/image/ab6761610000e5eb7dbaf2fabcbd4b37168397fd
CORAZN VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,,,,https://i.scdn.co/image/ab6761610000e5ebb6cfa517b8f5a152d63c4ffb
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,3JvrhDOgAt6p7K8mDyZwRd,https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,https://i.scdn.co/image/ab6761610000e5eb8f074ec8c25406680bf26422
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,,,,https://i.scdn.co/image/ab6761610000e5eb1e97fce6fa6fc4ebc3ebda25
Novidade na ,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,2uhw2oYbugGJbn10wipNX5,https://p.scdn.co/mp3-preview/6bff8c1079d87a672d6b9ee5c3c6ca5e7d9ff45b?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273369c960fed23353176da1218,https://i.scdn.co/image/ab6761610000e5ebd353ef9564cfbb5f2b3bffb2
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,79uDOz0zuuWS7HWxzMmTa2,,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,,,,
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,51FvjPEGKq2zByeeEQ43V9,https://p.scdn.co/mp3-preview/a933b6e1d6a47e591c13192f2b5e58739d3d5a06?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,https://i.scdn.co/image/ab6761610000e5eb41e4a3b8c1d45a9e49b6de21
